iter	Logloss
0	0.68878284
1	0.6846393729
2	0.6807505723
3	0.6771000105
4	0.6733437474
5	0.6699698509
6	0.666951454
7	0.6639064426
8	0.6610896892
9	0.6585462809
10	0.6560496172
11	0.6535518688
12	0.6514562982
13	0.649398502
14	0.6473219197
15	0.6453276164
16	0.6435675247
17	0.6418331543
18	0.6402068783
19	0.6387215933
20	0.6372448139
21	0.6357975643
22	0.6345973544
23	0.63330678
24	0.6320917294
25	0.6309111154
26	0.6298195609
27	0.628706596
28	0.62770419
29	0.6267824507
30	0.6259940719
31	0.6251059161
32	0.6241266944
33	0.6233058084
34	0.6225350901
35	0.6216855688
36	0.6209745743
37	0.6203466473
38	0.6196486472
39	0.6189384364
40	0.6183199346
41	0.617696532
42	0.6171076037
43	0.6165695379
44	0.6159626074
45	0.6154341491
46	0.6149009132
47	0.6144451604
48	0.6139457395
49	0.6134863853
50	0.6129976136
51	0.6125836938
52	0.6121427934
53	0.6118035146
54	0.6113937375
55	0.611056772
56	0.6106968068
57	0.6103478583
58	0.6100133493
59	0.6096046958
60	0.6092581634
61	0.6089617463
62	0.6086474051
63	0.6083172058
64	0.6080419527
65	0.6077106469
66	0.6074126371
67	0.607133145
68	0.606792576
69	0.6065394795
70	0.6062596729
71	0.6059599283
72	0.605679776
73	0.6054012017
74	0.6051941968
75	0.6049901952
76	0.6047759551
77	0.6045650047
78	0.6043263827
79	0.6040848847
80	0.6038473958
81	0.6036790174
82	0.603446937
83	0.6032494302
84	0.6030148741
85	0.6027974412
86	0.6024735958
87	0.6023445282
88	0.6021265512
89	0.6018831889
90	0.6017368134
91	0.6014933528
92	0.6013256172
93	0.6011922235
94	0.6010310974
95	0.6007898052
96	0.6006218364
97	0.6004237728
98	0.6003065711
99	0.600145754
100	0.5999599411
101	0.5998212919
102	0.5996746509
103	0.5995365721
104	0.5993744573
105	0.5992007168
106	0.5990678151
107	0.5989522485
108	0.5987552662
109	0.5986470969
110	0.5984874052
111	0.5983886977
