iter	Passed	Remaining
0	299	149355
1	430	107083
2	545	90288
3	645	80091
4	772	76486
5	884	72860
6	983	69274
7	1089	67023
8	1210	66031
9	1328	65072
10	1433	63722
11	1545	62870
12	1661	62235
13	1757	61003
14	1859	60122
15	1969	59575
16	2053	58342
17	2164	57973
18	2265	57355
19	2382	57188
20	2498	56993
21	2620	56934
22	2730	56629
23	2850	56528
24	2966	56361
25	3075	56069
26	3180	55723
27	3301	55645
28	3416	55486
29	3527	55259
30	3642	55103
31	3752	54878
32	3864	54694
33	3983	54593
34	4094	54402
35	4196	54083
36	4283	53606
37	4404	53549
38	4504	53246
39	4631	53265
40	4730	52953
41	4828	52653
42	4942	52527
43	5050	52345
44	5151	52087
45	5252	51840
46	5357	51635
47	5464	51459
48	5558	51160
49	5654	50892
50	5769	50790
51	5859	50482
52	5954	50219
53	6056	50019
54	6158	49831
55	6254	49591
56	6360	49430
57	6458	49218
58	6562	49051
59	6675	48950
60	6779	48788
61	6890	48676
62	6991	48497
63	7099	48363
64	7200	48190
65	7302	48022
66	7400	47829
67	7491	47594
68	7595	47443
69	7679	47174
70	7769	46947
71	7917	47062
72	8018	46900
73	8119	46743
74	8220	46581
75	8312	46376
76	8424	46277
77	8520	46100
78	8612	45899
79	8730	45835
80	8835	45705
81	8955	45648
82	9058	45510
83	9158	45354
84	9254	45184
85	9368	45097
86	9488	45042
87	9585	44876
88	9694	44767
89	9799	44642
90	9902	44506
91	9999	44345
92	10115	44270
93	10228	44180
94	10335	44060
95	10451	43985
96	10548	43825
97	10670	43770
98	10778	43657
99	10888	43554
100	10985	43399
101	11087	43262
102	11181	43095
103	11304	43043
104	11404	42903
105	11514	42797
106	11606	42630
107	11702	42477
108	11796	42317
109	11899	42187
110	12016	42113
111	12132	42030
112	12260	41989
113	12379	41916
114	12481	41787
115	12588	41673
116	12692	41549
117	12801	41441
118	12902	41310
119	13006	41186
120	13103	41043
121	13201	40903
122	13312	40804
123	13418	40687
124	13530	40592
125	13645	40503
126	13766	40431
127	13868	40306
128	13970	40177
129	14075	40060
130	14171	39918
131	14286	39828
132	14373	39661
133	14482	39557
134	14591	39450
135	14699	39342
136	14811	39244
137	14918	39134
138	15014	38995
139	15127	38899
140	15233	38785
141	15337	38667
142	15450	38572
143	15559	38466
144	15681	38391
145	15798	38305
146	15915	38220
147	16019	38101
148	16100	37927
149	16209	37821
150	16322	37726
151	16433	37622
152	16538	37508
153	16650	37408
154	16711	37197
155	16804	37055
156	16915	36956
157	17033	36869
158	17135	36748
159	17238	36632
160	17361	36556
161	17464	36438
162	17560	36305
163	17671	36204
164	17787	36113
165	17901	36019
166	18004	35901
167	18104	35777
168	18217	35679
169	18323	35570
170	18416	35433
171	18512	35302
172	18610	35177
173	18706	35048
174	18804	34923
175	18909	34810
176	19010	34690
177	19102	34555
178	19208	34446
179	19310	34330
180	19418	34223
181	19541	34143
182	19641	34023
183	19768	33950
184	19867	33827
185	19956	33689
186	20083	33616
187	20202	33527
188	20305	33412
189	20420	33317
190	20526	33207
191	20645	33118
192	20751	33009
193	20857	32899
194	20956	32777
195	21091	32712
196	21227	32648
197	21360	32580
198	21477	32485
199	21586	32379
200	21692	32268
201	21756	32096
202	21878	32009
203	21983	31898
204	22092	31791
205	22216	31707
206	22322	31596
207	22437	31499
208	22541	31385
209	22654	31284
210	22751	31161
211	22863	31060
212	22914	30875
213	23018	30763
214	23121	30650
215	23245	30563
216	23356	30459
217	23469	30359
218	23568	30241
219	23617	30059
220	23693	29912
221	23812	29819
222	23917	29709
223	24024	29601
224	24130	29493
225	24231	29377
226	24340	29273
227	24439	29155
228	24519	29016
229	24572	28846
230	24685	28746
231	24790	28637
232	24903	28537
233	25004	28423
234	25107	28312
235	25207	28198
236	25303	28079
237	25395	27956
238	25485	27830
239	25593	27726
240	25700	27620
241	25797	27503
242	25892	27384
243	25996	27274
244	26091	27156
245	26187	27038
246	26308	26948
247	26418	26844
248	26517	26730
249	26613	26613
250	26716	26503
251	26826	26401
252	26937	26298
253	27038	26186
254	27166	26101
255	27271	25992
256	27399	25907
257	27507	25801
258	27617	25697
259	27722	25590
260	27820	25475
261	27913	25356
262	28023	25252
263	28139	25154
264	28238	25041
265	28346	24936
266	28447	24825
267	28562	24725
268	28655	24607
269	28761	24500
270	28876	24400
271	28989	24299
272	29091	24190
273	29141	24036
274	29243	23926
275	29316	23792
276	29433	23695
277	29528	23580
278	29644	23482
279	29759	23382
280	29863	23274
281	29984	23179
282	30092	23074
283	30207	22975
284	30323	22875
285	30446	22781
286	30542	22667
287	30651	22562
288	30777	22470
289	30908	22381
290	31026	22283
291	31129	22174
292	31250	22077
293	31357	21971
294	31458	21860
295	31588	21770
296	31689	21659
297	31802	21557
298	31923	21460
299	32039	21359
300	32157	21260
301	32266	21154
302	32390	21059
303	32504	20957
304	32617	20853
305	32737	20755
306	32797	20618
307	32908	20514
308	33022	20412
309	33133	20307
310	33261	20213
311	33370	20107
312	33476	20000
313	33588	19896
314	33665	19771
315	33752	19653
